fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
3,TEST,0.52,0.5384615384615384,0.5833333333333334,0.46153846153846156,0.5188745216627708,8,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,8,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
4,TEST,0.48,0.5185185185185185,0.5833333333333334,0.38461538461538464,0.47366546671567095,8,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.8,0.8181818181818182,0.9,0.7,0.7937253933193772,8,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
5,TEST,0.64,0.64,0.7272727272727273,0.5714285714285714,0.6446583712203042,8,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.72,0.7149388623072834,0.7799999999999999,0.6672727272727272,0.7177532439708206,8,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
MEAN,TEST,0.5680000000000001,0.5622531542531543,0.6121212121212121,0.5296703296703298,0.5574893896142182,8,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
1,VALIDATION,0.85,0.8571428571428571,1.0,0.7272727272727273,0.8528028654224418,8,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
1,TEST,0.68,0.6923076923076923,0.75,0.6153846153846154,0.6793662204867574,8,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.65,0.6956521739130435,0.8888888888888888,0.45454545454545453,0.6356417261637282,8,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
2,TEST,0.56,0.5925925925925926,0.6666666666666666,0.46153846153846156,0.5547001962252291,8,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,8,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
3,TEST,0.6,0.6666666666666666,0.8333333333333334,0.38461538461538464,0.5661385170722979,8,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.5,0.4444444444444444,0.4444444444444444,0.5454545454545454,0.4923659639173309,8,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
4,TEST,0.52,0.4,0.3333333333333333,0.6923076923076923,0.48038446141526137,8,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.7,0.7272727272727273,0.8,0.6,0.6928203230275509,8,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
5,TEST,0.64,0.6086956521739131,0.6363636363636364,0.6428571428571429,0.6396021490668313,8,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.6699999999999999,0.6782357738879478,0.7822222222222222,0.5745454545454545,0.6649939651619963,8,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
MEAN,TEST,0.6000000000000001,0.5920525207481729,0.6439393939393939,0.5593406593406594,0.5840383088532755,8,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
1,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,8,0.001,0.0,0.5,8,resize_small_hu_m300_1400_separadas
1,TEST,0.68,0.6923076923076923,0.75,0.6153846153846154,0.6793662204867574,8,0.001,0.0,0.5,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.6,0.6923076923076923,1.0,0.2727272727272727,0.5222329678670935,8,0.001,0.0,0.5,8,resize_small_hu_m300_1400_separadas
2,TEST,0.52,0.6,0.75,0.3076923076923077,0.4803844614152614,8,0.001,0.0,0.5,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.45,0.5925925925925926,0.8888888888888888,0.09090909090909091,0.28426762180748055,8,0.001,0.0,0.5,8,resize_small_hu_m300_1400_separadas
3,TEST,0.64,0.7272727272727273,1.0,0.3076923076923077,0.5547001962252291,8,0.001,0.0,0.5,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.4,0.45454545454545453,0.5555555555555556,0.2727272727272727,0.3892494720807615,8,0.001,0.0,0.5,8,resize_small_hu_m300_1400_separadas
4,TEST,0.52,0.5714285714285714,0.6666666666666666,0.38461538461538464,0.5063696835418333,8,0.001,0.0,0.5,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.65,0.72,0.9,0.4,0.6000000000000001,8,0.001,0.0,0.5,8,resize_small_hu_m300_1400_separadas
5,TEST,0.68,0.6923076923076923,0.8181818181818182,0.5714285714285714,0.6837634587578277,8,0.001,0.0,0.5,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.5700000000000001,0.6442701002701003,0.8466666666666667,0.3345454545454546,0.5095702989691382,8,0.001,0.0,0.5,8,resize_small_hu_m300_1400_separadas
MEAN,TEST,0.6080000000000001,0.6566633366633366,0.796969696969697,0.4373626373626374,0.5809168040853818,8,0.001,0.0,0.5,8,resize_small_hu_m300_1400_separadas
1,VALIDATION,0.85,0.8571428571428571,1.0,0.7272727272727273,0.8528028654224418,8,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
1,TEST,0.68,0.6923076923076923,0.75,0.6153846153846154,0.6793662204867574,8,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.65,0.72,1.0,0.36363636363636365,0.6030226891555273,8,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
2,TEST,0.6,0.6428571428571429,0.75,0.46153846153846156,0.5883484054145521,8,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,8,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
3,TEST,0.64,0.6896551724137931,0.8333333333333334,0.46153846153846156,0.6201736729460423,8,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,8,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
4,TEST,0.64,0.64,0.6666666666666666,0.6153846153846154,0.6405126152203485,8,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.65,0.631578947368421,0.6,0.7,0.648074069840786,8,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
5,TEST,0.72,0.6666666666666666,0.6363636363636364,0.7857142857142857,0.7071067811865476,8,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.71,0.7154285714285715,0.8088888888888889,0.6309090909090909,0.7014680009576079,8,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
MEAN,TEST,0.656,0.6662973348490591,0.7272727272727273,0.5879120879120879,0.6471015390508497,8,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
