fold,set,accuracy,f1,tpr,tnr,gmean,auc,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
4,VALIDATION,0.75,0.7058823529411765,0.6666666666666666,0.8181818181818182,0.7385489458759964,0.6868686868686869,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
4,TEST,0.72,0.5882352941176471,0.4166666666666667,1.0,0.6454972243679028,0.6858974358974359,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
5,VALIDATION,0.7,0.625,0.5,0.9,0.6708203932499369,0.6799999999999999,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
5,TEST,0.72,0.5333333333333333,0.36363636363636365,1.0,0.6030226891555273,0.7662337662337662,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
MEAN,VALIDATION,0.6900000000000001,0.6616386554621848,0.6555555555555556,0.7254545454545455,0.6803853276493117,0.6390303030303031,4,0.001,8
MEAN,TEST,0.584,0.48753050870697934,0.40606060606060607,0.7384615384615385,0.5347606136268078,0.6096570096570095,4,0.001,8
1,VALIDATION,0.7,0.75,1.0,0.45454545454545453,0.674199862463242,0.7373737373737375,4,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
1,TEST,0.68,0.7333333333333333,0.9166666666666666,0.46153846153846156,0.6504436355879909,0.6346153846153846,4,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
2,VALIDATION,0.55,0.6086956521739131,0.7777777777777778,0.36363636363636365,0.5318160234783105,0.4545454545454546,4,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
2,TEST,0.44,0.46153846153846156,0.5,0.38461538461538464,0.4385290096535146,0.47435897435897434,4,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
3,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,0.6262626262626263,4,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
3,TEST,0.56,0.6451612903225806,0.8333333333333334,0.3076923076923077,0.5063696835418333,0.5448717948717949,4,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
4,VALIDATION,0.6,0.6363636363636364,0.7777777777777778,0.45454545454545453,0.5945883900105632,0.5454545454545454,4,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
