fold,set,accuracy,f1,tpr,tnr,gmean,auc,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
2,TEST,0.48,0.23529411764705882,0.16666666666666666,0.7692307692307693,0.35805743701971643,0.5769230769230769,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,0.6262626262626263,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
3,TEST,0.6,0.6666666666666666,0.8333333333333334,0.38461538461538464,0.5661385170722979,0.5,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,0.6666666666666666,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
4,TEST,0.64,0.5714285714285714,0.5,0.7692307692307693,0.6201736729460423,0.6987179487179487,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.75,0.7619047619047619,0.8,0.7,0.7483314773547882,0.63,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
5,TEST,0.76,0.75,0.8181818181818182,0.7142857142857143,0.7644707871564383,0.8701298701298701,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.72,0.7107297655904466,0.76,0.6854545454545453,0.7182887672190341,0.6593333333333333,4,0.001,8
MEAN,TEST,0.6,0.5355869620575502,0.546969696969697,0.6505494505494506,0.5630420195472656,0.6496669996669995,4,0.001,8
1,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,0.5656565656565656,8,0.001,0,0,8,resize_small_hu_m300_1400_separadas
1,TEST,0.52,0.5714285714285714,0.6666666666666666,0.38461538461538464,0.5063696835418333,0.49358974358974356,8,0.001,0,0,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,0.5757575757575757,8,0.001,0,0,8,resize_small_hu_m300_1400_separadas
2,TEST,0.52,0.3333333333333333,0.25,0.7692307692307693,0.4385290096535146,0.5641025641025641,8,0.001,0,0,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,0.6262626262626263,8,0.001,0,0,8,resize_small_hu_m300_1400_separadas
3,TEST,0.52,0.5714285714285714,0.6666666666666666,0.38461538461538464,0.5063696835418333,0.5128205128205128,8,0.001,0,0,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,0.8080808080808081,8,0.001,0,0,8,resize_small_hu_m300_1400_separadas
4,TEST,0.72,0.7407407407407407,0.8333333333333334,0.6153846153846154,0.716114874039433,0.7307692307692307,8,0.001,0,0,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.75,0.7368421052631579,0.7,0.8,0.7483314773547882,0.71,8,0.001,0,0,8,resize_small_hu_m300_1400_separadas
5,TEST,0.72,0.6666666666666666,0.6363636363636364,0.7857142857142857,0.7071067811865476,0.7662337662337663,8,0.001,0,0,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.7,0.6884210526315789,0.7177777777777777,0.6872727272727273,0.701379195993991,0.6571515151515152,8,0.001,8
MEAN,TEST,0.6,0.5767195767195766,0.6106060606060606,0.5879120879120879,0.5748980063926323,0.6135031635031635,8,0.001,8
1,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,0.7676767676767676,8,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
1,TEST,0.6,0.5833333333333334,0.5833333333333334,0.6153846153846154,0.5991446895152781,0.5769230769230769,8,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.55,0.6086956521739131,0.7777777777777778,0.36363636363636365,0.5318160234783105,0.5353535353535354,8,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
2,TEST,0.48,0.5185185185185185,0.5833333333333334,0.38461538461538464,0.47366546671567095,0.47435897435897434,8,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
