fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
3,VALIDATION,0.8,0.8181818181818182,1.0,0.6363636363636364,0.7977240352174656,4,0.001,1e-05,0.3,8,resize_small_hu_m600_1500_separadas
3,TEST,0.84,0.8571428571428571,1.0,0.6923076923076923,0.8320502943378437,4,0.001,1e-05,0.3,8,resize_small_hu_m600_1500_separadas
4,VALIDATION,0.45,0.47619047619047616,0.5555555555555556,0.36363636363636365,0.44946657497549475,4,0.001,1e-05,0.3,8,resize_small_hu_m600_1500_separadas
4,TEST,0.48,0.5185185185185185,0.5833333333333334,0.38461538461538464,0.47366546671567095,4,0.001,1e-05,0.3,8,resize_small_hu_m600_1500_separadas
5,VALIDATION,0.7,0.7,0.7,0.7,0.7,4,0.001,1e-05,0.3,8,resize_small_hu_m600_1500_separadas
5,TEST,0.68,0.6363636363636364,0.6363636363636364,0.7142857142857143,0.674199862463242,4,0.001,1e-05,0.3,8,resize_small_hu_m600_1500_separadas
MEAN,VALIDATION,0.6700000000000002,0.6775712007290954,0.7622222222222221,0.5945454545454545,0.6701261981124491,4,0.001,8
MEAN,TEST,0.624,0.6272925586268914,0.693939393939394,0.5582417582417583,0.614750952635694,4,0.001,8
1,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,4,0.001,1e-05,0.5,8,resize_small_hu_m600_1500_separadas
1,TEST,0.68,0.7142857142857143,0.8333333333333334,0.5384615384615384,0.6698641270570836,4,0.001,1e-05,0.5,8,resize_small_hu_m600_1500_separadas
2,VALIDATION,0.6,0.5555555555555556,0.5555555555555556,0.6363636363636364,0.5945883900105632,4,0.001,1e-05,0.5,8,resize_small_hu_m600_1500_separadas
2,TEST,0.52,0.4,0.3333333333333333,0.6923076923076923,0.48038446141526137,4,0.001,1e-05,0.5,8,resize_small_hu_m600_1500_separadas
3,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,4,0.001,1e-05,0.5,8,resize_small_hu_m600_1500_separadas
3,TEST,0.84,0.8571428571428571,1.0,0.6923076923076923,0.8320502943378437,4,0.001,1e-05,0.5,8,resize_small_hu_m600_1500_separadas
4,VALIDATION,0.55,0.47058823529411764,0.4444444444444444,0.6363636363636364,0.5318160234783105,4,0.001,1e-05,0.5,8,resize_small_hu_m600_1500_separadas
4,TEST,0.44,0.4166666666666667,0.4166666666666667,0.46153846153846156,0.4385290096535146,4,0.001,1e-05,0.5,8,resize_small_hu_m600_1500_separadas
5,VALIDATION,0.7,0.7272727272727273,0.8,0.6,0.6928203230275509,4,0.001,1e-05,0.5,8,resize_small_hu_m600_1500_separadas
5,TEST,0.64,0.6086956521739131,0.6363636363636364,0.6428571428571429,0.6396021490668313,4,0.001,1e-05,0.5,8,resize_small_hu_m600_1500_separadas
MEAN,VALIDATION,0.68,0.6630642560054325,0.7155555555555555,0.6472727272727272,0.6750712843628298,4,0.001,8
MEAN,TEST,0.624,0.5993581780538302,0.6439393939393939,0.6054945054945055,0.6120860083061068,4,0.001,8
1,VALIDATION,0.7,0.75,1.0,0.45454545454545453,0.674199862463242,8,0.001,0,0,8,resize_small_hu_m600_1500_separadas
1,TEST,0.56,0.6206896551724138,0.75,0.38461538461538464,0.5370861555295747,8,0.001,0,0,8,resize_small_hu_m600_1500_separadas
2,VALIDATION,0.7,0.7272727272727273,0.8888888888888888,0.5454545454545454,0.6963106238227913,8,0.001,0,0,8,resize_small_hu_m600_1500_separadas
2,TEST,0.56,0.5217391304347826,0.5,0.6153846153846154,0.5547001962252291,8,0.001,0,0,8,resize_small_hu_m600_1500_separadas
3,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,8,0.001,0,0,8,resize_small_hu_m600_1500_separadas
3,TEST,0.84,0.8571428571428571,1.0,0.6923076923076923,0.8320502943378437,8,0.001,0,0,8,resize_small_hu_m600_1500_separadas
4,VALIDATION,0.6,0.42857142857142855,0.3333333333333333,0.8181818181818182,0.5222329678670935,8,0.001,0,0,8,resize_small_hu_m600_1500_separadas
4,TEST,0.44,0.2222222222222222,0.16666666666666666,0.6923076923076923,0.3396831102433787,8,0.001,0,0,8,resize_small_hu_m600_1500_separadas
5,VALIDATION,0.65,0.631578947368421,0.6,0.7,0.648074069840786,8,0.001,0,0,8,resize_small_hu_m600_1500_separadas
5,TEST,0.64,0.5263157894736842,0.45454545454545453,0.7857142857142857,0.5976143046671968,8,0.001,0,0,8,resize_small_hu_m600_1500_separadas
MEAN,VALIDATION,0.6699999999999999,0.6474846206425153,0.72,0.6309090909090909,0.6488687989350722,8,0.001,8
MEAN,TEST,0.608,0.549621930889192,0.5742424242424242,0.634065934065934,0.5722268122006446,8,0.001,8
1,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,8,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
1,TEST,0.72,0.7407407407407407,0.8333333333333334,0.6153846153846154,0.716114874039433,8,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
2,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,8,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
2,TEST,0.48,0.48,0.5,0.46153846153846156,0.4803844614152614,8,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
3,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,8,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
3,TEST,0.72,0.72,0.75,0.6923076923076923,0.7205766921228921,8,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
4,VALIDATION,0.5,0.4444444444444444,0.4444444444444444,0.5454545454545454,0.4923659639173309,8,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
4,TEST,0.52,0.5384615384615384,0.5833333333333334,0.46153846153846156,0.5188745216627708,8,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
5,VALIDATION,0.75,0.7368421052631579,0.7,0.8,0.7483314773547882,8,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
5,TEST,0.56,0.42105263157894735,0.36363636363636365,0.7142857142857143,0.5096471914376256,8,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
MEAN,VALIDATION,0.6900000000000001,0.6819715956558062,0.74,0.650909090909091,0.6896336147697546,8,0.001,8
MEAN,TEST,0.6,0.5800509821562453,0.6060606060606062,0.589010989010989,0.5891195481355965,8,0.001,8
1,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,8,0.001,0,0.5,8,resize_small_hu_m600_1500_separadas
1,TEST,0.72,0.7407407407407407,0.8333333333333334,0.6153846153846154,0.716114874039433,8,0.001,0,0.5,8,resize_small_hu_m600_1500_separadas
2,VALIDATION,0.7,0.5714285714285714,0.4444444444444444,0.9090909090909091,0.6356417261637282,8,0.001,0,0.5,8,resize_small_hu_m600_1500_separadas
